Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Epic,SCRUM-1,10000,User RegistrationUser Registration and Authentication and Authentication,,,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,To Do,,18/Mar/24 9:52 AM,19/Mar/24 10:04 AM,
Epic,SCRUM-2,10001,Portal Features,,,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,To Do,,18/Mar/24 9:53 AM,18/Mar/24 12:21 PM,
Epic,SCRUM-3,10002,"Weather data Integration, Aggregation, Storage and Analytics",,,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,To Do,,18/Mar/24 9:53 AM,18/Mar/24 12:20 PM,
Epic,SCRUM-4,10003,User Experience and Interface Design,,,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,To Do,,18/Mar/24 9:53 AM,18/Mar/24 9:53 AM,
Epic,SCRUM-5,10004,Mobile Apps Development,,,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,To Do,,18/Mar/24 9:53 AM,18/Mar/24 9:53 AM,
Story,SCRUM-6,10005,"As a new user, I want to create an account on the portal using my email and password, so that I can access personalized weather information.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 9:55 AM,19/Mar/24 10:31 AM,07/Feb/24 12:00 AM
Story,SCRUM-7,10006,Create a page for users to become paid members and complete the payment option,Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 9:56 AM,19/Mar/24 10:31 AM,08/Feb/24 12:00 AM
Story,SCRUM-8,10007,"As a registered user, I want to log in to the portal using my credentials so that I can access my saved preferences and settings.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:00 AM,19/Mar/24 10:31 AM,09/Feb/24 12:00 AM
Story,SCRUM-9,10008,"As a user, I want the mobile apps to provide push notifications for severe weather alerts, so that I can receive timely updates.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:00 AM,19/Mar/24 10:31 AM,18/Mar/24 12:00 AM
Story,SCRUM-10,10009,"As a developer, I want to design a database schema and set up a weather data storage system, so that we can store and retrieve weather data efficiently based on the location.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:00 AM,19/Mar/24 10:31 AM,04/Feb/24 12:00 AM
Story,SCRUM-11,10010,"As a developer, I want to provide time-lapse videos of satellite forecasts for registered user based on their preferences.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:01 AM,19/Mar/24 10:31 AM,15/Mar/24 12:00 AM
Story,SCRUM-12,10011,"As a user, I want to view current weather conditions at specific locations, so that I can plan my activities accordingly.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:01 AM,19/Mar/24 10:31 AM,11/Feb/24 12:00 AM
Story,SCRUM-13,10012,"As a user, I want to view forecasts for five, ten, and fifteen days at a location, so that I can plan my long-term activities and travel plans.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:01 AM,19/Mar/24 10:31 AM,15/Feb/24 12:00 AM
Story,SCRUM-14,10013,"As a user, I want to receive severe weather advisories and alerts, so that I can stay informed and take necessary precautions.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:01 AM,19/Mar/24 10:31 AM,04/Mar/24 12:00 AM
Story,SCRUM-15,10014,"As a user, I want portal to have a responsive design, so that I can access it from different devices and form factors.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:02 AM,19/Mar/24 10:31 AM,14/Feb/24 12:00 AM
Story,SCRUM-16,10015,"As a User, I want the portal to load quickly and provide a smooth user experience, so that I can access weather information without delays.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:02 AM,19/Mar/24 10:31 AM,12/Feb/24 12:00 AM
Story,SCRUM-17,10016,"As a user, I want the portal to have a visually appealing interface with intuitive navigation, so that I can easily find the information I need.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:02 AM,19/Mar/24 10:31 AM,15/Feb/24 12:00 AM
Story,SCRUM-18,10017,"As a developer, I want to design portals which should have a have provisions for advertisements on the portal and apps.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:02 AM,19/Mar/24 10:31 AM,18/Mar/24 12:00 AM
Story,SCRUM-22,10021,"As a user, I want to have the facility to show satellite images and time-lapsed videos based on location and preferences.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:03 AM,19/Mar/24 10:31 AM,29/Feb/24 12:00 AM
Story,SCRUM-23,10022,"As a mobile user, I want to download and install the iOS app, so that I can access weather information on my iPhone.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:03 AM,19/Mar/24 10:31 AM,10/Mar/24 12:00 AM
Story,SCRUM-24,10023,"As a mobile user, I want to download and install the android app, so that I can access weather information on my android phone.",Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:03 AM,19/Mar/24 10:31 AM,10/Mar/24 12:00 AM
Story,SCRUM-25,10024,"As a system administrator, I want to integrate with multiple public weather services, so that we can collect comprehensive weather data from various sources.  ",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:04 AM,19/Mar/24 10:31 AM,24/Feb/24 12:00 AM
Story,SCRUM-26,10025,"As a developer, I want to detect locations based on GPS (if on a device) or IP.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 12:06 PM,19/Mar/24 10:31 AM,20/Feb/24 12:00 AM
Story,SCRUM-28,10027,"As a developer, I want to provide seasonal forecasts like seasonal precipitation and temperatures.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 12:10 PM,19/Mar/24 10:31 AM,04/Mar/24 12:00 AM
Story,SCRUM-29,10028,"As a developer, build logic to reconcile and aggregate data from multiple service providers and display the result to user based on his preference.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 12:12 PM,19/Mar/24 10:31 AM,01/Mar/24 12:00 AM
Story,SCRUM-30,10029,"As a developer, I want to publish API or Services for client apps.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 12:13 PM,19/Mar/24 10:31 AM,17/Mar/24 12:00 AM
